COMBINED

=== OVERALL STATS.CSV ===
elev,N,count,median,p25,p75
13,5,7,0.749,0.676,0.884
13,6,23,0.863,0.644,0.959
13,7,6,0.38,0.351,0.602
13,8,18,0.274,0.175,0.444
18,0,5,0.667,0.665,0.855
18,2,8,0.649,0.633,0.75
18,3,8,0.658,0.646,0.837
18,5,8,0.685,0.664,0.823
18,6,17,0.779,0.7,0.856
18,7,14,0.55,0.456,0.744
18,8,24,0.416,0.27,0.735
23,0,11,0.74,0.692,0.807
23,2,6,0.817,0.686,0.822
23,5,13,0.827,0.788,0.903
23,6,41,0.782,0.668,0.908
23,7,16,0.724,0.675,0.857
23,8,24,0.527,0.393,0.7
28,0,24,0.832,0.758,0.905
28,2,16,0.875,0.825,0.904
28,3,18,0.855,0.78,0.9
28,5,21,0.88,0.814,0.971
28,6,33,0.832,0.751,0.897
28,7,13,0.667,0.524,0.89
28,8,65,0.359,0.226,0.572
33,2,11,0.964,0.896,1.053
33,5,9,0.956,0.91,0.977
33,6,20,0.942,0.652,0.975
33,7,10,0.539,0.394,0.951
33,8,32,0.383,0.267,0.65
38,2,5,0.934,0.905,0.971
38,5,5,0.762,0.722,0.919
38,8,11,0.194,0.165,0.306

=== MONTHLY 11 ===
elev,N,count,median,p25,p75
8,0,5,0.778,0.722,0.837
8,2,8,0.753,0.722,0.886
8,3,8,0.757,0.691,0.867
8,6,12,0.676,0.481,0.839
8,7,9,0.63,0.466,0.798
8,8,34,0.31,0.175,0.512
13,2,8,0.719,0.557,0.802
13,5,5,0.707,0.623,0.781
13,6,6,0.631,0.518,0.874
13,7,9,0.747,0.676,0.822
13,8,53,0.304,0.178,0.492
18,2,15,0.724,0.696,0.795
18,3,9,0.7,0.615,0.831
18,5,7,0.769,0.631,0.862
18,6,39,0.695,0.611,0.836
18,7,27,0.475,0.424,0.827
18,8,98,0.229,0.156,0.425
23,0,12,0.796,0.693,0.881
23,2,15,0.842,0.814,0.921
23,3,8,0.749,0.686,0.86
23,5,5,0.709,0.706,0.795
23,6,20,0.956,0.818,1.019
23,7,12,0.563,0.419,0.96
23,8,76,0.237,0.172,0.437
28,7,5,0.645,0.638,1.01

=== MONTHLY 12 ===
